ORDER	ARTIST	ALBUM	TRACK
31347	Bob Newhart	Button Down Concert	11 - The Nude Police Line-Up.flac
31347	Bob Newhart	Button Down Concert	12 - Edison's Most Famous Invention.flac
31347	Bob Newhart	Button Down Concert	13 - Introducing Tobacco To Civilization.flac
31347	Bob Newhart	Button Down Concert	14 - Retirement Party.flac
31347	Bread	Anthology	01 - Make It With You.flac
31347	Bread	Anthology	02 - Dismal Day.flac
31347	Bread	Anthology	03 - London Bridge.flac
31347	Bread	Anthology	04 - Anyway You Want Me.flac
31347	Bread	Anthology	05 - Look What You've Done.flac
31347	Bread	Anthology	06 - It Don't Matter To Me.flac
31347	Bread	Anthology	07 - The Last Time.flac
31347	Bread	Anthology	08 - Let Your Love Go.flac
31347	Bread	Anthology	09 - Truckin'.flac
31347	Bread	Anthology	10 - If.flac
31347	Bread	Anthology	11 - Baby I'm-A Want You.flac
31347	Bread	Anthology	12 - Everything I Own.flac
31347	Bread	Anthology	13 - Down On My Knees.flac
31347	Bread	Anthology	14 - Aubrey.flac
31347	Bread	Anthology	15 - Diary.flac
31347	Bread	Anthology	16 - Sweet Surrender.flac
31347	Bread	Anthology	17 - The Guitar Man.flac
31347	Bread	Anthology	18 - Fancy Dancer.flac
31347	Bread	Anthology	19 - She's The Only One.flac
31347	Bread	Anthology	20 - Lost Without Your Love.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	01 - Piano Intro-Great Divide.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	02 - Long Tall Cool One.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	03 - The Red Plains.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	04 - The Road Not Taken.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	05 - Lady With A Fan.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	06 - Stander On The Mountain.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	07 - Jacob's Ladder-Blackberry Blossom.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	08 - Piano Intro-I Loves You Porgy-Nocturne.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	09 - The Way It Is.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 1)	10 - Twelve Tone Tune-King Of The Hill.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	01 - Spider Fingers-Tempus Fugit.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	02 - Sneaking Up On Boo Radley.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	03 - Fortunate Son.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	04 - The Valley Road.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	05 - The End Of The Innocence.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	06 - Sunflower Cat-It Takes A Lot To Laugh, It Takes A Train To Cry.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	07 - Rainbow's Cadillac.flac
31347	Bruce Hornsby	Here Come The Noise Makers (Disc 2)	08 - Mandolin Rain-Black Muddy River.flac
31347	Bruce Willis	The Return Of Bruno	01 - Comin' Right Up.flac
31347	Bruce Willis	The Return Of Bruno	02 - Respect Yourself.flac
31347	Bruce Willis	The Return Of Bruno	03 - Down In Hollywood.flac
31347	Bruce Willis	The Return Of Bruno	04 - Young Blood.flac
31347	Bruce Willis	The Return Of Bruno	05 - Under The Boardwalk.flac
31347	Bruce Willis	The Return Of Bruno	06 - Secret Agent Man-James Bond Is Back.flac
31347	Bruce Willis	The Return Of Bruno	07 - Jackpot (Bruno's Bop).flac
31347	Bruce Willis	The Return Of Bruno	08 - Fun Time.flac
31347	Bruce Willis	The Return Of Bruno	09 - Lose Myself.flac
31347	Bruce Willis	The Return Of Bruno	10 - Flirting With Disaster.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	01 - That'll Be The Day.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	02 - Words Of Love.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	03 - Peggy Sue.flac
